,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,carrier,gender
867,name868,lastname868,January,11,1999,BS Management Engineering,+63 917 299 3591,Globe,Male
868,name869,lastname869,July,27,1997,BS Communications Technology Management,+63 927 592 1019,Globe,Male
869,name870,lastname870,January,11,1999,BS Communications Technology Management,+63 918 155 7151,Smart,Male
870,name871,lastname871,July,7,1999,BS Communications Technology Management,+63 917 403 6185,Globe,Female
871,name872,lastname872,March,23,1997,BS Communications Technology Management,+63 917 420 2785,Globe,Female
872,name873,lastname873,May,17,1999,BS Management Engineering,+63 918 966 3409,Smart,Female
873,name874,lastname874,January,10,1998,BS Communications Technology Management,+63 918 646 6350,Smart,Female
874,name875,lastname875,June,17,2001,BS Information Technology Entrepreneurship,+63 927 400 5224,Globe,Female
875,name876,lastname876,February,21,2001,BS Communications Technology Management,+63 918 908 6977,Smart,Female
876,name877,lastname877,August,27,2001,BS Information Technology Entrepreneurship,+63 918 638 9959,Smart,Female
877,name878,lastname878,July,22,1999,BS Legal Management,+63 918 616 5326,Smart,Male
878,name879,lastname879,December,25,1998,BS Management Engineering,+63 918 139 7536,Smart,Male
879,name880,lastname880,March,17,1998,BS Management Engineering,+63 917 533 5972,Globe,Female
880,name881,lastname881,December,2,2000,BS Information Technology Entrepreneurship,+63 917 221 7566,Globe,Female
881,name882,lastname882,April,5,1999,BS Communications Technology Management,+63 927 530 7214,Globe,Female
882,name883,lastname883,July,4,1997,BS Legal Management,+63 917 868 9083,Globe,Female
883,name884,lastname884,April,23,2000,BS Legal Management,+63 918 660 3128,Smart,Female
884,name885,lastname885,December,11,2000,BS Management,+63 927 175 2972,Globe,Male
885,name886,lastname886,October,26,1997,BS Legal Management,+63 917 276 8699,Globe,Female
886,name887,lastname887,April,4,2000,BS Management Engineering,+63 917 210 7063,Globe,Female
887,name888,lastname888,July,2,1998,BS Management,+63 927 127 3113,Globe,Female
888,name889,lastname889,July,20,2001,BS Management,+63 917 977 3508,Globe,Male
889,name890,lastname890,November,2,1998,BS Management,+63 917 328 9205,Globe,Male
890,name891,lastname891,August,13,2000,BS Management Engineering,+63 918 821 7480,Smart,Female
891,name892,lastname892,March,26,1998,BS Management Engineering,+63 917 689 2678,Globe,Male
892,name893,lastname893,July,2,1998,BS Legal Management,+63 927 597 4601,Globe,Female
893,name894,lastname894,March,21,1999,BS Legal Management,+63 917 165 3793,Globe,Male
894,name895,lastname895,February,14,1999,BS Information Technology Entrepreneurship,+63 917 166 3062,Globe,Male
895,name896,lastname896,October,10,1998,BS Legal Management,+63 927 346 9730,Globe,Male
896,name897,lastname897,October,1,2000,BS Management,+63 918 912 7678,Smart,Male
897,name898,lastname898,April,17,1999,BS Information Technology Entrepreneurship,+63 917 170 1087,Globe,Male
898,name899,lastname899,August,3,1997,BS Management,+63 918 972 7480,Smart,Male
899,name900,lastname900,December,4,1997,BS Legal Management,+63 927 700 9691,Globe,Female
900,name901,lastname901,April,2,2001,BS Communications Technology Management,+63 927 992 8635,Globe,Male
901,name902,lastname902,January,18,2001,BS Information Technology Entrepreneurship,+63 918 101 2444,Smart,Female
902,name903,lastname903,May,27,1997,BS Management,+63 918 111 3466,Smart,Female
903,name904,lastname904,December,8,1997,BS Management Engineering,+63 917 991 3757,Globe,Female
904,name905,lastname905,March,12,1999,BS Information Technology Entrepreneurship,+63 917 607 4978,Globe,Female
905,name906,lastname906,October,12,1998,BS Legal Management,+63 918 901 1766,Smart,Female
906,name907,lastname907,July,25,1997,BS Communications Technology Management,+63 917 774 3282,Globe,Female
907,name908,lastname908,January,11,1999,BS Communications Technology Management,+63 918 186 9039,Smart,Male
908,name909,lastname909,December,27,1998,BS Communications Technology Management,+63 918 931 9646,Smart,Male
909,name910,lastname910,September,15,2001,BS Communications Technology Management,+63 918 959 8390,Smart,Female
910,name911,lastname911,November,9,1997,BS Management,+63 918 566 3286,Smart,Male
911,name912,lastname912,December,1,1998,BS Management,+63 918 599 4332,Smart,Female
912,name913,lastname913,June,23,1999,BS Management,+63 927 573 4571,Globe,Male
913,name914,lastname914,March,23,1999,BS Information Technology Entrepreneurship,+63 917 798 2620,Globe,Female
914,name915,lastname915,April,19,1997,BS Legal Management,+63 917 265 9185,Globe,Female
915,name916,lastname916,January,24,1997,BS Communications Technology Management,+63 927 753 1533,Globe,Male
916,name917,lastname917,August,17,2001,BS Information Technology Entrepreneurship,+63 917 588 3224,Globe,Male
917,name918,lastname918,November,9,1997,BS Legal Management,+63 918 870 2621,Smart,Female
918,name919,lastname919,March,18,1997,BS Communications Technology Management,+63 918 982 6506,Smart,Male
919,name920,lastname920,November,12,2000,BS Management Engineering,+63 917 710 6432,Globe,Male
920,name921,lastname921,July,21,2001,BS Management,+63 927 689 3928,Globe,Male
921,name922,lastname922,May,25,2000,BS Legal Management,+63 918 723 7128,Smart,Male
922,name923,lastname923,January,17,2001,BS Management,+63 927 188 1317,Globe,Male
923,name924,lastname924,July,14,1997,BS Communications Technology Management,+63 917 751 9632,Globe,Male
924,name925,lastname925,November,4,1999,BS Communications Technology Management,+63 917 409 7669,Globe,Female
925,name926,lastname926,April,24,1998,BS Information Technology Entrepreneurship,+63 918 777 1156,Smart,Male
926,name927,lastname927,July,28,1997,BS Management Engineering,+63 918 390 2146,Smart,Male
927,name928,lastname928,February,13,1997,BS Management Engineering,+63 918 675 5512,Smart,Female
928,name929,lastname929,November,21,1999,BS Information Technology Entrepreneurship,+63 918 450 7839,Smart,Female
929,name930,lastname930,November,25,1999,BS Management Engineering,+63 927 950 5397,Globe,Male
930,name931,lastname931,March,16,1998,BS Management,+63 917 409 7205,Globe,Male
931,name932,lastname932,August,5,1999,BS Management,+63 927 768 9251,Globe,Male
932,name933,lastname933,June,12,1999,BS Legal Management,+63 927 860 1383,Globe,Female
933,name934,lastname934,July,28,2000,BS Management Engineering,+63 927 966 2788,Globe,Female
934,name935,lastname935,August,24,1999,BS Communications Technology Management,+63 918 597 5321,Smart,Male
935,name936,lastname936,November,2,2000,BS Legal Management,+63 918 720 1768,Smart,Male
936,name937,lastname937,January,8,1998,BS Management,+63 918 582 3906,Smart,Male
937,name938,lastname938,January,22,2000,BS Management Engineering,+63 918 184 3212,Smart,Female
938,name939,lastname939,April,17,1997,BS Management Engineering,+63 917 271 5839,Globe,Female
939,name940,lastname940,June,6,1998,BS Management,+63 917 977 7795,Globe,Female
940,name941,lastname941,July,21,1999,BS Management Engineering,+63 917 165 6593,Globe,Male
941,name942,lastname942,August,14,2000,BS Communications Technology Management,+63 917 223 2556,Globe,Male
942,name943,lastname943,April,24,1999,BS Communications Technology Management,+63 927 770 7950,Globe,Male
943,name944,lastname944,November,13,1998,BS Communications Technology Management,+63 927 664 6148,Globe,Female
944,name945,lastname945,November,2,1999,BS Information Technology Entrepreneurship,+63 927 890 5180,Globe,Female
945,name946,lastname946,September,20,1998,BS Management Engineering,+63 927 644 4841,Globe,Female
946,name947,lastname947,September,27,1999,BS Management Engineering,+63 917 505 1295,Globe,Male
947,name948,lastname948,July,9,1998,BS Information Technology Entrepreneurship,+63 917 906 6791,Globe,Female
948,name949,lastname949,August,7,2000,BS Management Engineering,+63 917 374 6420,Globe,Female
949,name950,lastname950,July,15,1997,BS Management,+63 927 295 1812,Globe,Female
950,name951,lastname951,August,20,2000,BS Management Engineering,+63 917 689 8285,Globe,Female
951,name952,lastname952,April,7,1998,BS Legal Management,+63 918 678 4969,Smart,Male
952,name953,lastname953,July,16,2001,BS Legal Management,+63 918 294 9247,Smart,Female
953,name954,lastname954,April,23,2000,BS Communications Technology Management,+63 918 780 7638,Smart,Female
954,name955,lastname955,November,4,1998,BS Information Technology Entrepreneurship,+63 918 760 1168,Smart,Male
955,name956,lastname956,November,16,1997,BS Legal Management,+63 927 373 9248,Globe,Male
956,name957,lastname957,March,15,1997,BS Management,+63 918 501 9104,Smart,Male
957,name958,lastname958,June,23,1999,BS Communications Technology Management,+63 917 316 9587,Globe,Male
958,name959,lastname959,November,1,1997,BS Management Engineering,+63 927 234 2768,Globe,Female
959,name960,lastname960,August,5,1998,BS Management,+63 918 949 2654,Smart,Male
960,name961,lastname961,October,28,1997,BS Management Engineering,+63 917 815 2634,Globe,Male
961,name962,lastname962,June,24,1998,BS Information Technology Entrepreneurship,+63 927 772 9962,Globe,Female
962,name963,lastname963,December,25,1997,BS Information Technology Entrepreneurship,+63 917 309 4471,Globe,Male
963,name964,lastname964,March,24,2000,BS Communications Technology Management,+63 917 749 3301,Globe,Male
964,name965,lastname965,July,21,1997,BS Communications Technology Management,+63 927 384 2721,Globe,Female
965,name966,lastname966,November,15,1999,BS Information Technology Entrepreneurship,+63 917 237 8133,Globe,Female
966,name967,lastname967,March,26,1999,BS Information Technology Entrepreneurship,+63 927 964 4299,Globe,Male
967,name968,lastname968,March,19,2000,BS Communications Technology Management,+63 917 240 9076,Globe,Female
968,name969,lastname969,June,2,1998,BS Information Technology Entrepreneurship,+63 917 176 9439,Globe,Female
969,name970,lastname970,July,9,1997,BS Management Engineering,+63 927 100 9164,Globe,Male
970,name971,lastname971,April,9,1998,BS Management Engineering,+63 927 730 8393,Globe,Female
971,name972,lastname972,November,28,1999,BS Communications Technology Management,+63 917 389 5738,Globe,Male
972,name973,lastname973,May,25,1997,BS Management Engineering,+63 917 634 5100,Globe,Male
973,name974,lastname974,December,20,2001,BS Information Technology Entrepreneurship,+63 927 357 1836,Globe,Male
974,name975,lastname975,March,11,2000,BS Management Engineering,+63 917 868 4656,Globe,Female
975,name976,lastname976,November,7,1999,BS Legal Management,+63 918 918 7519,Smart,Female
976,name977,lastname977,March,21,1999,BS Management Engineering,+63 918 632 8482,Smart,Female
977,name978,lastname978,November,25,1997,BS Management Engineering,+63 917 525 6204,Globe,Female
978,name979,lastname979,September,23,1998,BS Management,+63 927 765 1941,Globe,Male
979,name980,lastname980,December,14,2001,BS Legal Management,+63 918 606 4478,Smart,Female
980,name981,lastname981,March,10,1999,BS Communications Technology Management,+63 927 760 8017,Globe,Male
981,name982,lastname982,June,21,2000,BS Legal Management,+63 917 829 3943,Globe,Female
982,name983,lastname983,March,24,1999,BS Legal Management,+63 917 662 1872,Globe,Male
983,name984,lastname984,July,22,1999,BS Legal Management,+63 917 283 7138,Globe,Female
984,name985,lastname985,November,17,2001,BS Communications Technology Management,+63 927 254 1823,Globe,Female
985,name986,lastname986,February,28,2000,BS Communications Technology Management,+63 917 628 1470,Globe,Female
986,name987,lastname987,January,13,1997,BS Management,+63 927 147 7217,Globe,Female
987,name988,lastname988,December,27,1997,BS Legal Management,+63 917 314 4815,Globe,Male
988,name989,lastname989,February,26,1999,BS Management Engineering,+63 918 168 3635,Smart,Male
989,name990,lastname990,October,4,1998,BS Management,+63 918 313 9787,Smart,Male
990,name991,lastname991,November,22,2000,BS Management,+63 927 117 4649,Globe,Male
991,name992,lastname992,August,14,1999,BS Legal Management,+63 927 528 8069,Globe,Female
992,name993,lastname993,July,5,2000,BS Management,+63 918 851 8170,Smart,Male
993,name994,lastname994,May,20,1998,BS Management Engineering,+63 927 793 3024,Globe,Female
994,name995,lastname995,June,11,1999,BS Information Technology Entrepreneurship,+63 927 871 6633,Globe,Male
995,name996,lastname996,May,4,1998,BS Legal Management,+63 927 159 8838,Globe,Female
996,name997,lastname997,September,24,1997,BS Management,+63 918 333 2036,Smart,Male
997,name998,lastname998,March,4,1999,BS Communications Technology Management,+63 917 116 1724,Globe,Male
998,name999,lastname999,January,11,1999,BS Management,+63 917 997 1830,Globe,Female
999,name1000,lastname1000,July,24,1998,BS Legal Management,+63 927 789 2057,Globe,Female
1000,name1001,lastname1001,October,13,1999,BS Legal Management,+63 918 226 5829,Smart,Male
1001,name1002,lastname1002,January,16,1997,BS Information Technology Entrepreneurship,+63 917 189 5851,Globe,Female
1002,name1003,lastname1003,July,1,1999,BS Information Technology Entrepreneurship,+63 917 577 5113,Globe,Female
1003,name1004,lastname1004,June,8,1997,BS Management Engineering,+63 918 633 2873,Smart,Female
1004,name1005,lastname1005,January,14,2000,BS Management,+63 918 107 4666,Smart,Female
1005,name1006,lastname1006,March,23,1999,BS Information Technology Entrepreneurship,+63 917 575 1571,Globe,Male
1006,name1007,lastname1007,September,14,1997,BS Management,+63 918 673 9002,Smart,Male
1007,name1008,lastname1008,May,13,1998,BS Communications Technology Management,+63 927 455 7889,Globe,Female
1008,name1009,lastname1009,February,23,1998,BS Management,+63 918 790 1682,Smart,Female
1009,name1010,lastname1010,May,25,1999,BS Management,+63 917 254 7870,Globe,Female
1010,name1011,lastname1011,April,9,1999,BS Legal Management,+63 918 652 6097,Smart,Male
1011,name1012,lastname1012,May,14,1997,BS Management,+63 917 120 1564,Globe,Female
1012,name1013,lastname1013,September,8,1997,BS Management,+63 927 878 8766,Globe,Male
1013,name1014,lastname1014,May,1,2001,BS Management Engineering,+63 918 524 3684,Smart,Female
1014,name1015,lastname1015,March,10,1997,BS Legal Management,+63 917 209 4854,Globe,Female
1015,name1016,lastname1016,April,16,1997,BS Communications Technology Management,+63 917 610 8591,Globe,Male
1016,name1017,lastname1017,January,17,1998,BS Communications Technology Management,+63 918 198 8897,Smart,Female
1017,name1018,lastname1018,February,21,1997,BS Management,+63 917 470 7921,Globe,Male
1018,name1019,lastname1019,July,16,2001,BS Management,+63 917 415 3731,Globe,Male
1019,name1020,lastname1020,March,13,1999,BS Management,+63 917 421 2734,Globe,Female
1020,name1021,lastname1021,May,20,1998,BS Information Technology Entrepreneurship,+63 917 286 5078,Globe,Male
1021,name1022,lastname1022,December,4,1997,BS Information Technology Entrepreneurship,+63 918 819 6422,Smart,Female
1022,name1023,lastname1023,June,28,2000,BS Legal Management,+63 918 423 3021,Smart,Male
1023,name1024,lastname1024,September,9,1998,BS Management Engineering,+63 917 720 3510,Globe,Male
1024,name1025,lastname1025,March,8,1999,BS Communications Technology Management,+63 918 748 6951,Smart,Male
1025,name1026,lastname1026,January,15,1998,BS Management,+63 927 426 7423,Globe,Female
1026,name1027,lastname1027,January,14,1999,BS Management Engineering,+63 927 556 8003,Globe,Female
1027,name1028,lastname1028,June,28,1999,BS Management,+63 927 571 1913,Globe,Female
1028,name1029,lastname1029,September,11,1999,BS Communications Technology Management,+63 927 120 7807,Globe,Female
1029,name1030,lastname1030,April,7,2001,BS Legal Management,+63 917 327 6289,Globe,Female
1030,name1031,lastname1031,August,21,1999,BS Information Technology Entrepreneurship,+63 918 446 4044,Smart,Female
1031,name1032,lastname1032,December,26,1999,BS Communications Technology Management,+63 917 959 9685,Globe,Male
1032,name1033,lastname1033,May,16,1998,BS Communications Technology Management,+63 918 371 7071,Smart,Female
1033,name1034,lastname1034,December,15,2000,BS Management,+63 927 777 1235,Globe,Male
1034,name1035,lastname1035,June,1,1999,BS Communications Technology Management,+63 918 657 6901,Smart,Female
1035,name1036,lastname1036,June,3,2000,BS Management,+63 927 465 6997,Globe,Male
1036,name1037,lastname1037,January,19,2001,BS Information Technology Entrepreneurship,+63 918 777 8386,Smart,Female
1037,name1038,lastname1038,January,22,1999,BS Management Engineering,+63 918 591 8053,Smart,Female
1038,name1039,lastname1039,January,16,2000,BS Management Engineering,+63 917 604 5494,Globe,Male
1039,name1040,lastname1040,December,6,1997,BS Management Engineering,+63 918 631 5507,Smart,Female
1040,name1041,lastname1041,February,12,1998,BS Communications Technology Management,+63 917 803 3974,Globe,Female
1041,name1042,lastname1042,December,24,1997,BS Legal Management,+63 918 821 6331,Smart,Male
1042,name1043,lastname1043,March,13,1999,BS Communications Technology Management,+63 927 760 2707,Globe,Female
1043,name1044,lastname1044,July,2,1997,BS Information Technology Entrepreneurship,+63 918 349 9660,Smart,Male
1044,name1045,lastname1045,May,21,1997,BS Communications Technology Management,+63 927 713 5773,Globe,Male
1045,name1046,lastname1046,May,22,2001,BS Management,+63 917 214 4255,Globe,Female
1046,name1047,lastname1047,May,25,1998,BS Legal Management,+63 918 340 3323,Smart,Male
1047,name1048,lastname1048,March,25,1998,BS Management Engineering,+63 927 397 4986,Globe,Male
1048,name1049,lastname1049,February,1,1997,BS Management Engineering,+63 917 668 9753,Globe,Female
1049,name1050,lastname1050,July,28,1998,BS Information Technology Entrepreneurship,+63 917 467 6080,Globe,Male
1050,name1051,lastname1051,June,9,2001,BS Management Engineering,+63 927 371 2566,Globe,Female
1051,name1052,lastname1052,April,6,1997,BS Legal Management,+63 917 227 5205,Globe,Female
1052,name1053,lastname1053,April,9,2000,BS Information Technology Entrepreneurship,+63 917 105 9613,Globe,Male
1053,name1054,lastname1054,November,7,1998,BS Management Engineering,+63 918 339 7033,Smart,Male
1054,name1055,lastname1055,August,23,1999,BS Communications Technology Management,+63 918 959 8550,Smart,Female
1055,name1056,lastname1056,April,6,1999,BS Information Technology Entrepreneurship,+63 918 354 7812,Smart,Female
1056,name1057,lastname1057,February,28,2001,BS Management Engineering,+63 918 514 4755,Smart,Male
1057,name1058,lastname1058,November,12,2001,BS Legal Management,+63 927 197 8951,Globe,Female
1058,name1059,lastname1059,April,11,1998,BS Information Technology Entrepreneurship,+63 918 680 4779,Smart,Male
1059,name1060,lastname1060,July,1,2000,BS Communications Technology Management,+63 918 645 6025,Smart,Male
1060,name1061,lastname1061,May,24,1997,BS Communications Technology Management,+63 917 371 3839,Globe,Female
1061,name1062,lastname1062,July,19,1998,BS Management Engineering,+63 927 361 7293,Globe,Male
1062,name1063,lastname1063,January,13,1997,BS Information Technology Entrepreneurship,+63 918 182 1959,Smart,Female
1063,name1064,lastname1064,March,7,2000,BS Communications Technology Management,+63 917 818 4976,Globe,Male
1064,name1065,lastname1065,April,8,1999,BS Management,+63 918 247 3215,Smart,Male
1065,name1066,lastname1066,January,28,1997,BS Management Engineering,+63 927 344 3571,Globe,Male
1066,name1067,lastname1067,October,3,1999,BS Legal Management,+63 917 557 5859,Globe,Female
1067,name1068,lastname1068,July,4,1997,BS Communications Technology Management,+63 918 705 3092,Smart,Female
1068,name1069,lastname1069,May,23,1999,BS Information Technology Entrepreneurship,+63 918 350 6711,Smart,Female
1069,name1070,lastname1070,February,18,1999,BS Information Technology Entrepreneurship,+63 918 569 7640,Smart,Female
1070,name1071,lastname1071,January,14,1999,BS Communications Technology Management,+63 918 474 5680,Smart,Female
1071,name1072,lastname1072,August,13,1999,BS Communications Technology Management,+63 918 441 2380,Smart,Female
1072,name1073,lastname1073,October,1,1997,BS Information Technology Entrepreneurship,+63 917 333 9074,Globe,Male
1073,name1074,lastname1074,February,26,1998,BS Management,+63 927 231 5102,Globe,Male
1074,name1075,lastname1075,August,22,2000,BS Communications Technology Management,+63 918 772 9445,Smart,Male
1075,name1076,lastname1076,June,19,1998,BS Information Technology Entrepreneurship,+63 927 767 7062,Globe,Female
1076,name1077,lastname1077,August,1,1997,BS Communications Technology Management,+63 917 222 4027,Globe,Male
1077,name1078,lastname1078,August,18,1998,BS Management,+63 917 372 6091,Globe,Male
1078,name1079,lastname1079,October,7,1999,BS Management Engineering,+63 918 598 8688,Smart,Female
1079,name1080,lastname1080,November,17,2000,BS Management Engineering,+63 927 500 8664,Globe,Male
1080,name1081,lastname1081,December,5,1999,BS Management Engineering,+63 927 904 3251,Globe,Male
1081,name1082,lastname1082,January,28,2000,BS Management Engineering,+63 918 853 8895,Smart,Female
1082,name1083,lastname1083,December,15,1998,BS Information Technology Entrepreneurship,+63 918 867 4047,Smart,Female
1083,name1084,lastname1084,February,27,1999,BS Management,+63 927 780 5516,Globe,Female
1084,name1085,lastname1085,June,28,2001,BS Communications Technology Management,+63 917 739 8316,Globe,Male
1085,name1086,lastname1086,April,28,1997,BS Management,+63 917 257 8186,Globe,Male
1086,name1087,lastname1087,March,28,1998,BS Management Engineering,+63 927 692 7290,Globe,Female
1087,name1088,lastname1088,September,5,1999,BS Information Technology Entrepreneurship,+63 927 304 1355,Globe,Female
1088,name1089,lastname1089,April,25,1999,BS Communications Technology Management,+63 918 955 8221,Smart,Male
1089,name1090,lastname1090,July,27,2000,BS Communications Technology Management,+63 918 613 2252,Smart,Female
1090,name1091,lastname1091,February,24,1999,BS Management,+63 927 740 8593,Globe,Female
1091,name1092,lastname1092,February,17,2000,BS Management Engineering,+63 927 658 1569,Globe,Male
1092,name1093,lastname1093,May,23,1997,BS Management Engineering,+63 927 325 6671,Globe,Male
1093,name1094,lastname1094,June,25,2000,BS Management Engineering,+63 917 857 8412,Globe,Male
1094,name1095,lastname1095,January,26,1997,BS Information Technology Entrepreneurship,+63 917 343 3386,Globe,Female
1095,name1096,lastname1096,July,21,2001,BS Information Technology Entrepreneurship,+63 927 862 4541,Globe,Male
1096,name1097,lastname1097,July,2,2000,BS Information Technology Entrepreneurship,+63 918 645 9539,Smart,Male
1097,name1098,lastname1098,January,15,1999,BS Management Engineering,+63 927 381 8143,Globe,Female
1098,name1099,lastname1099,March,22,2001,BS Management,+63 918 242 4918,Smart,Male
1099,name1100,lastname1100,November,19,1997,BS Legal Management,+63 918 352 6064,Smart,Male
1100,name1101,lastname1101,April,5,2000,BS Information Technology Entrepreneurship,+63 917 225 6387,Globe,Male
1101,name1102,lastname1102,May,14,1999,BS Legal Management,+63 927 357 9725,Globe,Male
1102,name1103,lastname1103,June,4,2001,BS Management Engineering,+63 917 811 5416,Globe,Male
1103,name1104,lastname1104,December,12,1999,BS Communications Technology Management,+63 927 155 2357,Globe,Male
1104,name1105,lastname1105,March,23,1999,BS Management Engineering,+63 927 659 7601,Globe,Female
1105,name1106,lastname1106,October,26,1998,BS Legal Management,+63 917 579 9310,Globe,Male
1106,name1107,lastname1107,December,14,2000,BS Management,+63 918 899 5954,Smart,Male
1107,name1108,lastname1108,April,21,1997,BS Information Technology Entrepreneurship,+63 918 597 2109,Smart,Male
1108,name1109,lastname1109,August,18,1997,BS Management,+63 927 331 2469,Globe,Female
1109,name1110,lastname1110,November,23,1997,BS Communications Technology Management,+63 927 857 4325,Globe,Male
1110,name1111,lastname1111,March,17,2001,BS Communications Technology Management,+63 917 745 6591,Globe,Male
1111,name1112,lastname1112,February,25,1998,BS Legal Management,+63 927 820 4602,Globe,Female
1112,name1113,lastname1113,June,8,1997,BS Information Technology Entrepreneurship,+63 917 541 3617,Globe,Female
1113,name1114,lastname1114,June,16,1998,BS Information Technology Entrepreneurship,+63 917 561 4702,Globe,Male
1114,name1115,lastname1115,February,25,1997,BS Management Engineering,+63 917 103 4403,Globe,Female
1115,name1116,lastname1116,January,4,1999,BS Management,+63 917 472 8417,Globe,Male
1116,name1117,lastname1117,April,25,2001,BS Information Technology Entrepreneurship,+63 918 962 8354,Smart,Male
1117,name1118,lastname1118,July,23,1998,BS Management,+63 927 780 4566,Globe,Male
1118,name1119,lastname1119,July,17,2001,BS Information Technology Entrepreneurship,+63 918 530 9778,Smart,Male
1119,name1120,lastname1120,March,10,1999,BS Management,+63 918 501 4512,Smart,Male
1120,name1121,lastname1121,December,17,1998,BS Legal Management,+63 918 439 4303,Smart,Male
1121,name1122,lastname1122,January,3,1998,BS Legal Management,+63 917 310 8397,Globe,Male
1122,name1123,lastname1123,September,2,2001,BS Legal Management,+63 917 686 3457,Globe,Male
1123,name1124,lastname1124,January,1,1998,BS Management Engineering,+63 927 995 2764,Globe,Male
1124,name1125,lastname1125,June,20,1999,BS Information Technology Entrepreneurship,+63 927 325 1153,Globe,Female
1125,name1126,lastname1126,May,2,1998,BS Management,+63 927 383 7195,Globe,Male
1126,name1127,lastname1127,July,28,1999,BS Information Technology Entrepreneurship,+63 917 859 6198,Globe,Male
1127,name1128,lastname1128,February,16,2001,BS Communications Technology Management,+63 918 633 9731,Smart,Female
1128,name1129,lastname1129,January,17,1998,BS Information Technology Entrepreneurship,+63 917 588 9566,Globe,Female
1129,name1130,lastname1130,November,14,1997,BS Legal Management,+63 927 777 3805,Globe,Male
1130,name1131,lastname1131,December,6,1998,BS Legal Management,+63 918 822 3585,Smart,Male
1131,name1132,lastname1132,June,12,1997,BS Legal Management,+63 918 260 7816,Smart,Male
1132,name1133,lastname1133,May,26,1998,BS Communications Technology Management,+63 917 367 2891,Globe,Female
1133,name1134,lastname1134,June,26,1998,BS Management,+63 927 393 9901,Globe,Female
1134,name1135,lastname1135,October,23,2000,BS Information Technology Entrepreneurship,+63 917 431 3651,Globe,Female
1135,name1136,lastname1136,August,12,1998,BS Information Technology Entrepreneurship,+63 927 404 6189,Globe,Male
1136,name1137,lastname1137,March,2,2001,BS Information Technology Entrepreneurship,+63 917 421 6329,Globe,Male
1137,name1138,lastname1138,January,27,1998,BS Legal Management,+63 918 661 3666,Smart,Male
1138,name1139,lastname1139,March,7,1999,BS Information Technology Entrepreneurship,+63 917 268 1923,Globe,Male
1139,name1140,lastname1140,July,10,1997,BS Communications Technology Management,+63 918 825 7903,Smart,Male
1140,name1141,lastname1141,August,8,1997,BS Management Engineering,+63 927 925 8074,Globe,Male
1141,name1142,lastname1142,January,13,1998,BS Information Technology Entrepreneurship,+63 918 887 3826,Smart,Male
1142,name1143,lastname1143,January,22,2001,BS Management,+63 917 198 1630,Globe,Male
1143,name1144,lastname1144,March,5,1997,BS Communications Technology Management,+63 918 598 8378,Smart,Male
1144,name1145,lastname1145,March,26,2001,BS Management Engineering,+63 918 531 4245,Smart,Female
1145,name1146,lastname1146,January,3,1999,BS Management Engineering,+63 927 213 3415,Globe,Male
1146,name1147,lastname1147,December,18,1998,BS Communications Technology Management,+63 927 304 9604,Globe,Male
1147,name1148,lastname1148,May,23,1999,BS Management,+63 917 374 3789,Globe,Male
1148,name1149,lastname1149,August,9,1997,BS Legal Management,+63 927 265 2172,Globe,Female
1149,name1150,lastname1150,February,22,1998,BS Management,+63 918 116 3123,Smart,Male
1150,name1151,lastname1151,May,13,1999,BS Information Technology Entrepreneurship,+63 917 443 9793,Globe,Female
1151,name1152,lastname1152,September,22,1998,BS Management Engineering,+63 927 263 7472,Globe,Male
1152,name1153,lastname1153,May,2,1997,BS Management Engineering,+63 917 728 8061,Globe,Female
1153,name1154,lastname1154,April,13,1999,BS Management,+63 918 731 7945,Smart,Female
1154,name1155,lastname1155,September,10,1997,BS Communications Technology Management,+63 917 480 8509,Globe,Female
1155,name1156,lastname1156,March,17,1998,BS Information Technology Entrepreneurship,+63 917 616 9950,Globe,Female
1156,name1157,lastname1157,April,12,2000,BS Information Technology Entrepreneurship,+63 918 234 5209,Smart,Female
1157,name1158,lastname1158,June,14,2001,BS Information Technology Entrepreneurship,+63 918 389 5381,Smart,Male
1158,name1159,lastname1159,December,13,1999,BS Legal Management,+63 917 711 1400,Globe,Male
1159,name1160,lastname1160,March,6,1998,BS Information Technology Entrepreneurship,+63 917 131 9290,Globe,Male
1160,name1161,lastname1161,June,21,2001,BS Communications Technology Management,+63 927 843 1852,Globe,Female
1161,name1162,lastname1162,July,25,1997,BS Information Technology Entrepreneurship,+63 927 187 3418,Globe,Female
1162,name1163,lastname1163,December,6,1999,BS Communications Technology Management,+63 917 922 3662,Globe,Female
1163,name1164,lastname1164,February,23,1997,BS Communications Technology Management,+63 927 181 1014,Globe,Male
1164,name1165,lastname1165,January,12,1998,BS Management,+63 918 306 6443,Smart,Female
1165,name1166,lastname1166,November,16,2001,BS Management,+63 917 857 5459,Globe,Male
1166,name1167,lastname1167,January,6,1999,BS Management Engineering,+63 917 480 9480,Globe,Male
1167,name1168,lastname1168,August,10,1998,BS Information Technology Entrepreneurship,+63 918 965 1161,Smart,Male
1168,name1169,lastname1169,May,26,1998,BS Management Engineering,+63 927 371 1482,Globe,Female
1169,name1170,lastname1170,August,22,1999,BS Information Technology Entrepreneurship,+63 917 899 7261,Globe,Male
1170,name1171,lastname1171,August,21,1999,BS Management Engineering,+63 917 880 9465,Globe,Male
1171,name1172,lastname1172,December,24,2001,BS Information Technology Entrepreneurship,+63 927 495 8365,Globe,Female
